Hour,Minute,Second,Temp,Longitude,Latitude,Altitude
17,27,51,21,0,0,0,0
17,27,57,21,0,0,0,0
17,28,3,20,0,0,0,0
17,28,9,21,0,0,0,0
17,28,15,22,0,0,0,0
17,28,20,21,0,0,0,0
17,28,27,23,0,0,0,0
17,28,33,25,0,0,0,0
17,28,39,25,0,0,0,0
17,28,45,24,0,0,0,0
17,28,51,24,0,0,0,0
17,28,57,24,0,0,0,0
17,29,3,-273,1,0,0,0
�17,29,8,24,0,0,0,0
17,29,15,-273,1,0,0,0
17,29,21,24,0,0,0,0
17,29,27,24,0,0,0,0
17,29,32,24,0,0,0,0
17,29,39,24,0,0,0,0
17,29,45,24,0,0,0,0
17,29,51,24,0,0,0,0
17,29,57,24,0,0,0,0
17,30,3,24,0,0,0,0
17,30,9,24,0,0,0,0
17,30,15,24,0,0,0,0
17,30,21,24,0,0,0,0
17,30,27,24,0,0,0,0
17,30,33,24,0,0,0,0
17,30,39,24,0,0,0,0
17,30,45,24,0,0,0,0
17,30,51,24,0,0,0,0
17,30,57,24,0,0,0,0
17,31,2,25,0,0,0,0
17,31,9,25,0,0,0,0
17,31,15,25,0,0,0,0
17,31,21,25,0,0,0,0
17,31,27,25,0,0,0,0
17,31,33,25,0,0,0,0
17,31,39,25,0,0,0,0
17,31,45,25,0,0,0,0
17,31,51,25,0,0,0,0
17,31,57,25,0,0,0,0
17,32,3,25,0,0,0,0
17,32,9,25,0,0,0,0
17,32,15,25,0,0,0,0
17,32,21,25,0,0,0,0
17,32,27,25,0,0,0,0
17,32,32,25,0,0,0,0
17,32,39,25,0,0,0,0
17,32,45,25,0,0,0,0
17,32,51,25,0,0,0,0
17,32,56,25,0,0,0,0
17,33,3,25,0,0,0,0
17,33,9,25,0,0,0,0
17,33,15,25,0,0,0,0
17,33,21,25,0,0,0,0
17,33,27,25,0,0,0,0
17,33,33,26,0,0,0,0
17,33,39,26,0,0,0,0
17,33,45,26,0,0,0,0
17,33,51,26,0,0,0,0
17,33,57,26,0,0,0,0
17,34,2,26,0,0,0,0
17,34,9,26,0,0,0,0
17,34,15,26,0,0,0,0
17,34,21,26,0,0,0,0
17,34,27,26,0,0,0,0
17,34,33,26,0,0,0,0
17,34,39,26,0,0,0,0
17,34,45,26,0,0,0,0
17,34,51,26,0,0,0,0
17,34,57,26,0,0,0,0
17,35,3,26,0,0,0,0
17,35,8,26,0,0,0,0
17,35,15,26,0,0,0,0
17,35,21,26,0,0,0,0
17,35,27,26,0,0,0,0
17,35,33,26,0,0,0,0
17,35,39,26,0,0,0,0
17,35,45,26,0,0,0,0
17,35,51,26,0,0,0,0
17,35,57,26,0,0,0,0
17,36,3,26,0,0,0,0
17,36,9,26,0,0,0,0
17,36,15,27,0,0,0,0
17,36,21,27,0,0,0,0
17,36,27,27,0,0,0,0
17,36,33,27,0,0,0,0
17,36,39,27,0,0,0,0
17,36,45,27,0,0,0,0
17,36,51,27,0,0,0,0
